id,url,title,duration,timestamp,tabs,thumbnail,source_name,usage_rights,reuse_policy
FZYwglyxQEA,https://www.youtube.com/watch?v=FZYwglyxQEA,OTRA VEZ TOYOTA...  ¿LO MISMO DE SIEMPRE?,816.0,,videos,https://i.ytimg.com/vi/FZYwglyxQEA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1HZLalq9xSA0BATfqbAloriUeZg,El Dios de los Autos,external-reference,embed_link_and_summarize_only
WVh3vni2K50,https://www.youtube.com/watch?v=WVh3vni2K50,FORD Y GEELY !!! ALIANZA O RIESGO???,736.0,,videos,https://i.ytimg.com/vi/WVh3vni2K50/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwSR6WP9QHdTrkly-DN6hJ5iDdfg,El Dios de los Autos,external-reference,embed_link_and_summarize_only
4KIRCKegwAc,https://www.youtube.com/watch?v=4KIRCKegwAc,NUEVA MARCA DE TOYOTA DESTRUYE EL MERCADO!!!,535.0,,videos,https://i.ytimg.com/vi/4KIRCKegwAc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8BZqHBb9ykM5xuNnrlKfwZwGKkA,El Dios de los Autos,external-reference,embed_link_and_summarize_only
kRY7p_Pm64A,https://www.youtube.com/watch?v=kRY7p_Pm64A,LOS AUTOS SE HAN VUELTO ABURRIDOS?????,787.0,,videos,https://i.ytimg.com/vi/kRY7p_Pm64A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6r3H4kun3dbmgC3oPIFL0e7QCnw,El Dios de los Autos,external-reference,embed_link_and_summarize_only
_MDO0WiLxjg,https://www.youtube.com/watch?v=_MDO0WiLxjg,AUTOS CHINOS APLASTAN A TOYOTA! - ENORME NOTICIA!,489.0,,videos,https://i.ytimg.com/vi/_MDO0WiLxjg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDc8yFeLewpBt-a6AGgK20GOxE9WQ,El Dios de los Autos,external-reference,embed_link_and_summarize_only
9q2QA_tinEo,https://www.youtube.com/watch?v=9q2QA_tinEo,FORD TERRITORY HIBRIDA 2026 VS GEELY EX5 EM-I ¿CUAL ES MEJOR? | Versus de vehículos,970.0,,videos,https://i.ytimg.com/vi/9q2QA_tinEo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgeNEXtXSnlRKbJeLhWjQ2GiGxPA,El Dios de los Autos,external-reference,embed_link_and_summarize_only
jfnqDfdMOLA,https://www.youtube.com/watch?v=jfnqDfdMOLA,EL SECRETO MEJOR GUARDADO DE ALEMANIA,435.0,,videos,https://i.ytimg.com/vi/jfnqDfdMOLA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBubX_7hA92Tl1G6aOjs4Cn2_YucQ,El Dios de los Autos,external-reference,embed_link_and_summarize_only
a52uVbmeDuU,https://www.youtube.com/watch?v=a52uVbmeDuU,¿NISSAN JUKE 2026 PONE DE RODILLAS A TOYOTA?,656.0,,videos,https://i.ytimg.com/vi/a52uVbmeDuU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBnf_g_mrFgKGcIECCMjJiV5VdoJQ,El Dios de los Autos,external-reference,embed_link_and_summarize_only
9g5cabaoSAI,https://www.youtube.com/watch?v=9g5cabaoSAI,TIENES UN AUTO A GAS???? pues CUIDADO con esto...,594.0,,videos,https://i.ytimg.com/vi/9g5cabaoSAI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8KMGL7Nuf51a_An4zWlZPvc2ayw,El Dios de los Autos,external-reference,embed_link_and_summarize_only
kqOJExPj9BE,https://www.youtube.com/watch?v=kqOJExPj9BE,JEEP GRAND CHEROKEE VS DODGE DURANGO ¿CUAL ES MEJOR? | Versus de vehículos,914.0,,videos,https://i.ytimg.com/vi/kqOJExPj9BE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB4ZFHTY5mgDSb4SE6F_K26GgEW7g,El Dios de los Autos,external-reference,embed_link_and_summarize_only
3dah4rL4FIQ,https://www.youtube.com/watch?v=3dah4rL4FIQ,¿ES EL FIN DE VOLKSWAGEN EN 2026?,849.0,,videos,https://i.ytimg.com/vi/3dah4rL4FIQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDC1G0kvTH38x9FGRFQl-uI3JNRUw,El Dios de los Autos,external-reference,embed_link_and_summarize_only
UIfWE9WTBg8,https://www.youtube.com/watch?v=UIfWE9WTBg8,PORSCHE MACAN VS  VOLKSWAGEN TOUAREG ¿CUAL ES MEJOR? | Versus de vehículos,1281.0,,videos,https://i.ytimg.com/vi/UIfWE9WTBg8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAeb5f4FZDFb8ENEVbIhKuo3P07-g,El Dios de los Autos,external-reference,embed_link_and_summarize_only
uKyND8gEa58,https://www.youtube.com/watch?v=uKyND8gEa58,GEELY OKAVANGO 2026 ACABA DE DESTROZARLOS A TODOS!,814.0,,videos,https://i.ytimg.com/vi/uKyND8gEa58/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDO4VUWsfPXTySI_57qEyN1BMHCA,El Dios de los Autos,external-reference,embed_link_and_summarize_only
Jdw6HUO1O5k,https://www.youtube.com/watch?v=Jdw6HUO1O5k,CONFIRMADO: CHEVROLET CAMARO HA REGRESADO,544.0,,videos,https://i.ytimg.com/vi/Jdw6HUO1O5k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkLkQO3FidyMvwumv0njVZZmf8Ng,El Dios de los Autos,external-reference,embed_link_and_summarize_only
