id,url,title,duration,timestamp,tabs,thumbnail
-eSA_bgaHjA,https://www.youtube.com/watch?v=-eSA_bgaHjA,Atención off-road y tech lovers! 🔥 MONTX ROMPE TODO en el Auto China 2026!,309.0,,videos,https://i.ytimg.com/vi/-eSA_bgaHjA/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARh_IEkoJTAP&rs=AOn4CLA7sY8DxAi3Ms80xTB1zSNTaJQnuA
FpXwO0V3CxM,https://www.youtube.com/watch?v=FpXwO0V3CxM,Noticias Motor Abril 2026,420.0,,videos,https://i.ytimg.com/vi/FpXwO0V3CxM/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhyIEQocjAP&rs=AOn4CLA6kEbnwPXQttVYUSdQS3gSu4NnBQ
i849ev1wuhs,https://www.youtube.com/watch?v=i849ev1wuhs,"No compres SEAT, Subaru o Suzuki sin ver esto 🛑 | Me Lo Compro o No Me Lo Compro",2539.0,,videos,https://i.ytimg.com/vi/i849ev1wuhs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDfk7WkEJ0nQ86lVVvQiUsjF7esyQ
WtKWwh3ffiY,https://www.youtube.com/watch?v=WtKWwh3ffiY,Noticiero Automotriz  Feb 2026,254.0,,videos,https://i.ytimg.com/vi/WtKWwh3ffiY/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLCG_DL0zRGRclIxFRynVtvzNkZsXg
bneJw3WuvXU,https://www.youtube.com/watch?v=bneJw3WuvXU,"¿Me lo compro o NO? Mini, Mitsubishi y Nissan con Sergio Oliveira | Tixuz Autos",3351.0,,videos,https://i.ytimg.com/vi/bneJw3WuvXU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCypcy_6KYuma4M-TYE7KeIxePTyw
4SqINL97dhM,https://www.youtube.com/watch?v=4SqINL97dhM,"¿Eléctrico, Híbrido o Gasolina? La Gran Crisis de Identidad del Motor 🚗⚡️",401.0,,videos,https://i.ytimg.com/vi/4SqINL97dhM/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARgPIGUoUDAP&rs=AOn4CLAVU9wM1uMbIE_WMmxAW19AD8R-BQ
u-QIh-nnUYg,https://www.youtube.com/watch?v=u-QIh-nnUYg,Me lo compro o no me lo compro: Mercedes-Benz,1941.0,,videos,https://i.ytimg.com/vi/u-QIh-nnUYg/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhTIFsoZTAP&rs=AOn4CLDAT94HiITlPK1OyTfjor1n-HGwNg
t18L1VU4jxs,https://www.youtube.com/watch?v=t18L1VU4jxs,"¿ME LO COMPRO O NO? Kia, Land Rover y Lexus",3434.0,,videos,https://i.ytimg.com/vi/t18L1VU4jxs/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARh_IBwoFzAP&rs=AOn4CLDv1ULpcaCpZGAMTtVGSpVYdXqWyA
u4Hj3qKhhw0,https://www.youtube.com/watch?v=u4Hj3qKhhw0,me lo compro no me lo compro hyundai,1804.0,,videos,https://i.ytimg.com/vi/u4Hj3qKhhw0/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhRIFsoZTAP&rs=AOn4CLDjx6mW5oqR7iGGk5Z3D5iOagAodA
rxZx1JRVhsA,https://www.youtube.com/watch?v=rxZx1JRVhsA,tixuz tech,218.0,,videos,https://i.ytimg.com/vi/rxZx1JRVhsA/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhlIGUoZTAP&rs=AOn4CLB5be7D_TyOpmeFwH_YSUas63FvPw
